City,Country,Latitude,Long,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
Shingu,JP,33.72,135.99,63.28,100,0,3.04
Tondano,ID,1.3,124.91,75.2,100,20,1.7
Turukhansk,RU,65.8,87.96,-25.6,39,8,2.93
Tazovskiy,RU,67.47,78.7,-20.2,30,56,6.17
Torbay,CA,47.66,-52.73,33.8,100,90,13.87
Belmonte,BR,-26.84,-53.58,83.67,65,64,3.6
Albany,AU,-35.02,117.88,50.0,100,90,4.7
Barrow,US,39.51,-90.4,21.92,75,40,14.99
Esperance,AU,-33.86,121.89,51.8,81,0,6.93
Tasiilaq,GL,65.61,-37.64,26.6,73,90,16.11
Atuona,PF,-9.8,-139.03,81.28,99,0,16.46
Nome,US,30.04,-94.42,57.92,31,1,4.16
Muzhi,RU,65.4,64.7,-10.43,72,76,4.94
Rikitea,PF,-23.12,-134.97,75.61,100,56,3.49
Kavieng,PG,-2.57,150.8,84.12,100,8,9.53
Hervey Bay,AU,-25.3,152.85,77.0,94,90,13.87
Souillac,MU,-20.52,57.52,73.4,100,75,12.75
Leshukonskoye,RU,64.9,45.76,9.96,81,76,5.06
Pevek,RU,69.7,170.27,-1.57,100,68,13.44
Hilo,US,19.71,-155.08,64.94,78,1,6.93
High Prairie,CA,55.43,-116.48,26.65,84,36,2.93
Mogadishu,SO,2.04,45.34,80.74,100,20,9.64
Ushuaia,AR,-54.81,-68.31,51.8,57,75,24.16
Jamestown,SH,-15.94,-5.72,68.77,100,48,18.7
Tiarei,PF,-17.53,-149.33,84.2,74,20,2.24
Bredasdorp,ZA,-34.53,20.04,59.0,87,92,8.05
Lazaro Cardenas,MX,28.39,-105.62,57.2,54,75,4.5
Busselton,AU,-33.64,115.35,56.22,100,0,12.55
Punta Arenas,CL,-53.16,-70.91,53.02,70,0,13.56
Cape Town,ZA,-33.93,18.42,62.6,55,40,14.99
Eureka,US,40.8,-124.16,55.94,100,75,14.99
Los Llanos de Aridane,ES,28.66,-17.92,69.8,77,75,6.93
Puerto Ayora,EC,-0.74,-90.35,82.4,58,20,12.75
Vaini,TO,-21.2,-175.2,77.0,94,20,5.82
Hermanus,ZA,-34.42,19.24,50.95,100,92,6.17
Ponta do Sol,CV,17.2,-25.09,80.6,57,40,25.28
Fengrun,CN,39.83,118.12,19.18,56,0,3.49
Bethel,US,60.79,-161.76,21.02,95,90,8.05
Saint-Augustin,CA,45.63,-73.98,32.0,94,90,12.75
Mitha Tiwana,PK,32.24,72.11,56.71,81,76,2.71
Kahului,US,20.89,-156.47,71.96,78,20,10.29
Rawson,AR,-43.3,-65.11,65.04,77,92,7.52
Port Alfred,ZA,-33.59,26.89,62.16,100,92,22.28
Rumonge,BI,-3.97,29.44,72.55,100,32,1.03
Arraial do Cabo,BR,-22.97,-42.02,78.8,69,20,13.87
Yulara,AU,-25.24,130.99,64.4,39,0,5.82
Avarua,CK,-21.21,-159.78,77.0,78,75,6.93
Castro,CL,-42.48,-73.76,62.16,70,36,4.38
Thompson,CA,55.74,-97.86,-4.01,76,75,2.24
Sao Filipe,CV,14.9,-24.5,77.95,88,0,13.67
Chokurdakh,RU,70.62,147.9,-16.42,25,48,2.93
Ostrovnoy,RU,68.05,39.51,20.53,88,80,9.42
Sur,OM,22.57,59.53,75.66,100,0,12.55
Koslan,RU,63.46,48.9,8.61,71,64,4.72
Hobart,AU,-42.88,147.33,53.6,93,75,4.7
Tanete,ID,-3.94,119.78,74.22,96,12,1.92
Yellowknife,CA,62.45,-114.38,19.4,92,90,16.11
Tres Passos,BR,-27.46,-53.93,73.27,91,76,6.96
Dingle,IE,52.14,-10.27,50.0,76,40,6.93
Vardo,NO,70.37,31.11,26.6,92,40,4.7
Saldanha,ZA,-33.01,17.94,64.4,52,68,13.87
Portland,AU,-33.35,149.98,55.72,99,92,5.17
Iqaluit,CA,63.75,-68.52,23.0,92,90,13.87
Dikson,RU,73.51,80.55,-2.69,100,44,9.98
Tezu,IN,27.93,96.16,53.29,51,0,2.15
Port Lincoln,AU,-34.72,135.86,58.02,97,92,10.98
Talnakh,RU,69.49,88.39,-14.3,65,44,4.05
College,US,64.86,-147.8,6.8,92,1,2.71
Caravelas,BR,-17.73,-39.27,78.99,100,20,14.67
Novikovo,RU,51.15,37.89,21.43,85,88,10.09
San Patricio,MX,19.22,-104.7,86.0,70,20,3.04
Along,IN,28.17,94.8,54.1,60,0,2.48
Korsakov,RU,46.63,142.78,30.2,68,40,11.18
Sibolga,ID,1.74,98.78,68.5,100,20,2.15
North Bend,US,43.41,-124.22,57.92,93,90,9.17
Hamilton,BM,32.3,-64.78,77.0,83,90,21.92
Aksu,CN,41.12,80.26,16.12,66,88,2.48
Kodiak,US,39.95,-94.76,21.2,64,1,5.82
Casas Adobes,US,32.32,-110.99,68.0,22,1,13.87
Mattru,SL,7.62,-11.83,86.19,64,48,4.72
Bud,NO,62.91,6.91,35.6,79,20,10.29
Bluff,NZ,-46.6,168.33,54.01,99,48,24.74
Tuktoyaktuk,CA,69.44,-133.03,14.0,92,90,4.7
Khatanga,RU,71.98,102.47,-26.27,41,48,3.94
Provideniya,RU,64.42,-173.23,20.35,100,80,24.74
Bandarbeyla,SO,9.49,50.81,78.22,100,92,12.44
Abha,SA,18.22,42.5,64.4,82,20,5.82
San Francisco,AR,-31.43,-62.08,79.12,59,76,9.19
Altamonte Springs,US,28.66,-81.39,62.6,37,1,16.11
Kapaa,US,22.08,-159.32,73.94,81,90,11.41
Iquitos,PE,-3.75,-73.25,42.8,319,75,6.93
Wangaratta,AU,-36.36,146.32,66.2,67,90,4.7
Thanh Hoa,VN,10.21,106.33,75.2,94,20,1.12
Teguise,ES,29.06,-13.56,69.8,64,40,12.75
Dharchula,IN,29.85,80.53,38.31,72,88,1.7
Den Helder,NL,52.96,4.76,42.8,93,40,9.17
Victoria,SC,-4.62,55.45,80.6,83,20,3.36
Matai,TZ,-8.3,31.52,75.2,47,40,5.82
Port Elizabeth,ZA,-33.92,25.57,57.2,93,90,10.29
Auki,SB,-8.77,160.7,80.02,100,56,7.18
Saint George,BM,32.38,-64.68,77.0,83,90,21.92
Faanui,PF,-16.48,-151.75,82.36,100,48,14.45
Abonnema,NG,4.71,6.79,79.39,78,44,4.72
Vestmannaeyjar,IS,63.44,-20.27,41.0,80,75,28.86
Berlevag,NO,70.86,29.09,28.4,79,0,9.17
Celestun,MX,20.87,-90.4,77.32,100,24,23.62
Polyarnyy,RU,69.2,33.45,17.6,85,75,4.47
Batamshinskiy,KZ,50.56,58.27,30.2,92,90,8.95
Sisimiut,GL,66.94,-53.67,2.44,100,8,3.38
Surt,LY,31.21,16.59,66.61,95,36,10.54
Nisia Floresta,BR,-6.09,-35.21,87.8,62,40,21.92
San Cosme y Damian,PY,-27.32,-56.35,84.2,66,0,8.05
Vila Velha,BR,-3.71,-38.6,87.8,58,0,17.22
Guerrero Negro,MX,27.97,-114.04,71.47,50,0,3.71
Deputatskiy,RU,69.3,139.9,-31.67,0,36,2.71
Port Hardy,CA,50.7,-127.42,48.2,93,75,6.93
Chapais,CA,49.78,-74.86,30.2,92,90,14.99
Norman Wells,CA,65.28,-126.83,-4.01,83,75,2.24
Beloha,MG,-25.17,45.06,80.65,54,36,9.98
Ballina,IE,54.11,-9.15,42.8,93,90,8.05
Fairbanks,US,64.84,-147.72,6.8,92,1,2.71
Preobrazheniye,RU,42.9,133.91,19.27,43,0,6.06
Worland,US,44.02,-107.96,35.6,72,75,5.82
Nogliki,RU,51.8,143.14,21.7,100,44,16.69
Carnarvon,AU,-24.87,113.63,68.0,77,75,16.11
Leua,AO,-11.65,20.45,72.51,81,20,2.37
Swan Hill,AU,-35.34,143.56,55.9,80,0,14.12
Hithadhoo,MV,-0.6,73.08,83.67,100,36,0.69
Thinadhoo,MV,0.53,72.93,78.54,100,92,2.93
Derzhavinsk,KZ,51.1,66.31,24.54,89,80,15.23
Sumoto,JP,34.35,134.9,60.8,77,92,3.36
Poum,NC,-20.23,164.02,77.41,100,0,4.61
Sao Joao da Barra,BR,-21.64,-41.05,84.2,58,40,11.41
Aleksandrovskoye,RU,56.74,85.39,15.8,85,75,8.95
Nikolskoye,RU,59.7,30.79,24.8,85,90,11.18
Shahgarh,IN,24.31,79.12,61.12,81,48,4.5
New Norfolk,AU,-42.78,147.06,53.6,93,75,4.7
Kamaishi,JP,39.28,141.86,47.8,95,36,8.41
Rurrenabaque,BO,-14.44,-67.53,86.0,74,75,2.48
Lumeje,AO,-11.56,20.78,75.88,68,8,3.71
Chalus,IR,36.66,51.42,51.8,87,0,4.7
Caarapo,BR,-22.63,-54.82,90.51,57,8,11.1
Santa Cruz de Tenerife,ES,28.47,-16.25,69.8,73,75,14.99
Bilibino,RU,68.06,166.44,-34.42,0,64,2.15
Canto do Buriti,BR,-8.11,-42.94,86.41,61,48,11.43
Sorong,ID,-0.86,131.25,80.16,100,24,4.05
Nanortalik,GL,60.14,-45.24,31.51,84,0,5.95
Sitka,US,37.17,-99.65,40.06,57,0,5.39
Carandai,BR,-20.95,-43.81,77.0,47,75,6.93
Ribeira Grande,PT,38.52,-28.7,66.2,82,40,24.16
Ilulissat,GL,69.22,-51.1,10.4,66,20,2.24
Upernavik,GL,72.79,-56.15,14.32,100,0,9.08
Saskylakh,RU,71.97,114.09,-20.92,31,64,2.71
Pitimbu,BR,-7.47,-34.81,84.2,66,75,19.46
Baker City,US,44.77,-117.83,35.96,85,90,18.34
Cherskiy,RU,68.75,161.3,-23.57,35,68,5.17
Kaeo,NZ,-35.1,173.78,57.97,93,24,10.98
Saint-Joseph,RE,-21.37,55.62,75.2,78,0,3.36
Strezhevoy,RU,60.73,77.6,1.4,84,64,11.18
Narsaq,GL,60.91,-46.05,4.02,50,0,4.05
Bembereke,BJ,10.23,2.66,81.82,44,12,2.93
Hofn,IS,64.25,-15.21,38.53,100,92,15.01
Baruun-Urt,MN,46.68,113.28,-5.57,50,20,6.73
Lebedinyy,RU,58.52,125.52,-24.79,35,48,2.71
Praia da Vitoria,PT,38.73,-27.07,68.0,82,75,31.79
Eydhafushi,MV,5.1,73.07,84.16,100,8,17.81
